"marzo, 2009",[[Punk Goes Pop 2]],"<url> 11 de Febrero, 1997"
julio 2006,"[[Don't Stop Me Now/Please, Please]],El 10 de octubre 2010 Curazao alcanzara la condición de país autónomo dentro del Reino de los Países Bajos (Status Aparte).<url> Antes de esa fecha el Gobernador de las Antillas Neerlandesas fue también gobernador de Curazao.
"Enero, 2002",[[Gran Turismo Concept]],"<url>Toluca, Estado de Mexico"
"junio, 2005",[[Passion (álbum de Geri Halliwell)]],"* <<url> Moscow Center for Consciousness Studies' videoentrevista con Richard Swinburne, 31 de mayo 2010>"
"julio, 2001",[[Scream If You Wanna Go Faster (canción)]],"<url> 26 de noviembre, 2001"
"agosto, 2008",[[Anexo:Discografía de The Script]],"<url> 16 de marzo, 2010"
"Marzo, 2004",[[Madara (álbum)]],* <<url> Texto en inglés del IPCC (Quinto Informe de Síntesis Noviembre 2014)>
"octubre, 2006",[[Matt &amp; Kim (álbum)]],"<url> Abril, 2009<small></small><br />"
"Julio, 2008",[[Meredith Baxter]],"<<cita|'«Desgraciadamente el resultado de nuestra primera visita fue un ""el señor a saliu"", que nos dio por toda contestación el mayordomo que consigo a traído el recién venido Guaco."
"octubre, 1665",[[Álvaro VII del Congo]],"<url> 15 de agosto, 2000"
"agosto, 2000",[[Jornada Mundial de la Juventud 2000]],"En el territorio que ocupa hoy la provincia espirituana se inaugura la primera radioemisora comercial en los 1 240 kc, el 12 de noviembre 1933, con las siglas CMHB, y el nombre público de Voz del Yayabo."
"diciembre, 2003",[[Dingxi]],La cadena mexicana <<<Televisa>>> a realizado 4 adaptaciones:
"marzo, 1543",[[Antonio de Valdivieso]],<url> Junio 2010
"Diciembre, 1951",[[Paul Quinn]],| 'Kingdom Come' #1 (Mayo 1996)
"de el,",[[Never Kill a Boy on the First Date]],<url>4 de abril |añoacceso=2010 <url> <url> |año=2010 <url>Medellin2010.org <url>español <url> >></ref>
"mayo, 1920",[[Big Jim Colosimo]],La serie fue estrenada por el canal <<<HBO>>> en Estados Unidos el 19 de septiembre de 2010 y acabó el 26 de octubre 2014.
"septiembre, 2005",[[Wildflower (álbum)]],"<url> <ref name=iucn><<IUCN <url>55906/0 <url>Georgina Santos-Barrera, Luis Canseco-Márquez, Paulino Ponce-Campos |año=2010 <url>Smilisca dentata <url>2014.3 <url>23 de marzo 2015 <url>inglés>></ref>"
"octubre, 2010",[[Anastasia (Boardwalk Empire)]],Deschamps ganó el Premio de Roma en escultura el 20 de septiembre 1864.
"julio, 2008",[[Nogizaka Haruka no Himitsu]],"Dunne el 28 de junio 1928>></ref><ref>Goodall y Tagg 2001, pp."
"noviembre, 2010",[[Hold Me in Paradise]],<url> 23 de diciembre 2003
"mayo, 2011",[[Víctor Manuel Ramos (novelista)]],<url> Carga de la infanteria argentina en Lomas Valentinas.jpg
"agosto, 1941",[[Chupuro]],"22 (enero 1884), pág."
"marzo, 1939",[[Ocupación japonesa de Hong Kong]],"Le Patriot, 02 de agosto 2006 .</ref><ref>Elmouloud Yattaea y Boubacar Sega Diallo, <<url> 'Una historia de Malí, el Malí postcolonial'>.</ref>"
diciembre 1986,"[[Silent Night, Deadly Night 2]],"La música original fue compuesta por Harry Manfredini, de la película <<<pelicula|Viernes 13>>>."
"enero, 1987",[[Dioko Kaluyituka]],"<small>(Publicado el 22 de mayo, 2006)</small>"
"enero, 1978",[[Love's Unkind]],"<url> 17 de diciembre, 1977 - 14 de enero, 1978"
"octubre, 2009",[[Historia del Club Deportivo Universidad Católica (fútbol)]],"""Realmente estoy muy feliz en Tijuana, la afición y el equipo me han ayudado a sobresalir en el equipo como uno de los mejores"" además mencionó que nadie del Club América había hablado con el."
"Agosto, 2016",[[Leopoldo Valiñas Coalla]],"<url> 13 de agosto 1936, <<edad|13|8|1936>>"
"julio, 2003",[[Anexo:Cuarta temporada de Friends]],"condenas a examen”, en Revista Emakunde, número 20, sobre La justicia y las mujeres , septiembre 1995, p."
"Noviembre, 1984",[[Lay Down the Law]],<url> febrero 2014
"enero, 1983",[[Derek Bloom]],"<url> 15 de noviembre, 2006"
"febrero, 1936",[[Seymour Liebergot]],PopDate = Mayo 2008|
"Noviembre, 2006",[[Lycanthrope]],"yaq> (27 de diciembre 2010).</ref> De hecho, la distinción entre las lenguas yaqui y mayo es más de orden político o étnico que lingüístico, y en algunas ocasiones se las considera como una misma lengua, llamada <<<lenguas cahitas|lengua cahita>>>."
"noviembre, 1989",[[Tirumalai Krishnamacharya]],"''Leonid Alekséievich Kulik'' (<url>) (<<<Tartu>>>, 19 de agosto 1883 - 24 de abril 1942) fue un <<<mineralogista>>> ruso, famoso por sus investigaciones sobre <<<meteorito>>>s."
"diciembre, 1976",[[Summer Fever]],"<url> 13 de noviembre, 1976 - 18 de diciembre, 1976"
"junio, 1582",[[Mori Ranmaru]],"Kevin Walker de 35 años, nacido el 18 de abril 1971, abogado de profesión, fue el cuarto hijo de William y Nora Walker (los hermanos son, en orden de nacimiento, Sarah, Kitty, Tommy, Kevin y Justin)."
"enero, 2011",[[Más amaneceres]],! ''Reparto el 30 de octubre 1733<br /><<<Director (musical) | Director>>>:
"diciembre, 1966",[[Tara Browne]],"Se cree que Willie escribió la desfavorable reseña de la obra que se publicó, sin firma, en '<<<Vanity Fair (magazine, historical)|Vanity Fair>>>' el 27 de febrero, 1892, ya que Willie había trabajado con anterioridad como crítico teatral para la revista."
"Noviembre, 1988",[[XHBJ-TDT]],"Pero por la parte de la ciencia, existen antecedentes de guerra biológica, y química un claro ejemplo es cuando Saddam Hussein empleo este tipo de armas contra los curdos durante su régimen.<ref>04 de Marzo 2011, información obtenida desde:"
"junio, 1998",[[So Into You (canción de Tamia)]],"<url> 8 de noviembre, 2005 (Estados Unidos)"
"mayo, 1959",[[Nicole Brown Simpson]],"<url> 2 de julio, 1968"
"julio, 1968",[[Ronald Goldman]],(17 enero 2008).
"mayo, 2006",[[Anexo:Discografía de Brian Littrell]],<url> 11 de julio 2006
"septiembre, 2010",[[Hollywood (canción de Michael Bublé)]],Hizo su debut el 06 de junio 2015 contra Panamá entra como cambio de Jefferson Montero .
enero 2000,"[[Municipio de Salem (condado de Pasquotank, Carolina del Norte)]],<url> <<bandera|UK>> 26 de octubre de 2009<br/><<bandera|USA>> 10 de noviembre 2009
enero 2000,"[[Municipio de Shooting Creek (condado de Clay, Carolina del Norte)]],<url> 1 de enero 2000
enero 2000,"[[Municipio de Beargrass (condado de Martin, Carolina del Norte)]]",<url> 1 de enero 2000
enero 2000,"[[Municipio de Griffins (condado de Martin, Carolina del Norte)]]",<url> 1 de enero 2000
enero 2000,"[[Municipio de Hamilton (condado de Martin, Carolina del Norte)]]",<url> 1 de enero 2000
"agosto, 2008",[[Códigos Corona]],<url> 23-24 de noviembre 1958
marzo 2008,"[[Municipio de South Knobs (condado de Yadkin, Carolina del Norte)]]",<url> 10 de marzo 2008
"julio, 1974",[[Guerra civil de Rodesia]],"color:white"" |<big>''Presas y embalses de México''</big> (actualizado, abril 2012)"
enero 2000,"[[Municipio de Sugarfork (condado de Macon, Carolina del Norte)]],"''Rodrigo Arias Camacho'' Actualmente trabaja como Director Nacional de Control de Propaganda en el <<<Ministerio de Gobernación y Policía de Costa Rica>>>, antes se desempeñó como Presidente Ejecutivo del <<<Sistema Nacional de Radio y Televisión>>> (SINART) de mayo 2010 a julio 2014, empresa pública que abarca el Canal 13 (en televisión) y en radio el 101.5 FM y 590 AM de <<<Costa Rica>>>."
enero 2000,"[[Municipio de Cherry Lane (condado de Alleghany, Carolina del Norte)]],"The Real Deal, Julio 2006</ref><ref><<url> Vacancies at a Fancy Address, 9 West></ref>"
"junio, 2012",[[Antonio Troitiño]],"a lo que el anciano sabio le responde '""pero si ralentizarlas, adelante príncipe id por el visir y acabad con el, que está pesadilla llegue a su fin.""' Entonces el príncipe y Farah se dirigen al palacio, matando unos cuantos monstruos de arena en el camino y el príncipe cierra la puerta del palacio cortando la cuerda que la sostenía."
enero 2000,"[[Municipio de Lower Creek (condado de Burke, Carolina del Norte)]],<url> 1 de enero 2000
"febrero, 2002",[[Munro S. Edmonson]],"<url> 15 de Junio, 1959"
"marzo, 1964",[[Matthew Restall]],<url> Julio - Agosto 1979
"diciembre, 2010",[[Anexo:Sexta temporada de Física o química]],"La séptima temporada de la serie juvenil <<<Física o Química|Física o química>>> se estrenó el 5 de mayo, 2011 y finalizó el 13 de junio, 2011."
"Mayo, 2011",[[Getter Jaani]],"'Excélsior', 19 de agosto 1987."
"Junio, 2010",[[Integración Estudiantil]],"Tierras de León, n.º 2, León, diciembre 1961))."
enero 2000,"[[Municipio de Micro (condado de Johnston, Carolina del Norte)]]",<url> 1 de enero 2000
"mayo, 1892",[[The sympathetical powder of Edricius Mohynus of Eburo]],"<<<<url>|miniaturadeimagen|300x300px|La fiesta de primavera en el campus  (<url>), Mayo 2003.>>>"
"junio, 2002",[[Jonathan Jackson]],<url> 1 de enero 2000
enero 2000,"[[Municipio de Brogden (condado de Wayne, Carolina del Norte)]],<url> 1 de enero 2000
enero 2000,"[[Municipio de Grantham (condado de Wayne, Carolina del Norte)]]",<url> 1 de enero 2000
"Agosto, 2008",[[Super Caló]],"el papel de Ciudad Real en el Postismo'>, Diputación de Ciudad Real, Area de Cultura, 1991.</ref> así como con las novelas y libros de aforismos de <<<José Luis Coll>>>, los relatos y el <<<costumbrismo>>> de <<<Francisco García Pavón>>>, por ejemplo, en su 'El jardín de las boinas' (1980) y su 'España en sus humoristas' (1966).<ref>'El humor manchego, tal vez sea un poco basto, pero que el escalpelo de la prosa pavoniana consigue transformar en jubilosos divertimientos'"
"mayo, 2011",[[Juan de Acevedo (fraile)]],"Es la ''11 ª ceremonia de los <<<Premios Emmy>>>'', se celebraron el 06 de mayo 1959 para honrar a los mejores de la televisión del año."
"Noviembre, 2010",[[Que Sera]],"En virtud de los <<<Acuerdos de Oslo>>> de 1993, la ciudad se convirtió en un municipio palestino el 17 de abril 1997 después del desmantelamiento del consejo municipal instaurado por la Autoridad Civil Israelí (ICA), dependiente de las fuerzas armadas de Israel, y Hussein Badr fue nombrado alcalde por la <<<Autoridad Nacional Palestina>>>."
"noviembre, 1983",[[Anexo:Población histórica de los pueblos indígenas de la América Anglosajona]],Dance/Club Songs (41-50) <url><<<Billboard>>> <url><<<Prometheus Global Media>>> <url>3&nbsp;enero 2012>></ref>
"Enero, 2001",[[Best! Morning Musume 1]],"Revista CEE Participación Educativa, 15, noviembre 2010, pp."
"Marzo, 1940",[[Jacques Hustin]]","<<<<url>|thumb|right|'Una respuesta a la Conclusión del Conde de Strafford', posiblemente impresa en <<<Londres>>>, Abril 1641>>>"
"mayo, 1985",[[Vicariato apostólico de Trípoli]],"<url> ''<<<Microsoft Windows>>>''<br>4 de octubre, 2011<br>''<<<Xbox 360>>>''<br>4 de octubre, 2011<br>''<<<PlayStation 3>>>''<br>4 de octubre, 2011<br>''<<<Mac OS X>>>''<br>4 de octubre, 2011<br>''<<<GNU/Linux>>>''<br>2012<ref name=""salidalinux""><url></ref>"
"agosto, 1926",[[Annie Palmen]],<url> Isla de los pajaros cerca (Chubut).jpg
Tésis,"[[Pasión según San Mateo, BWV 244]]","Tésis, <<<Brandeis University>>>, 1988</ref>"
incluídos,"[[Método de alfabetización &quot;Yo, sí puedo&quot;]]","<<<Cuba>>>, <<<Venezuela>>> y <<<Bolivia>>> quedaron incluídos como ""países libres de analfabetismo"" un reconocimiento certificado por la <<<Unesco|UNESCO>>> para los países cuya tasa de analfabetismo es inferior al 4 %.<ref><url></ref><url>"
22 octubre,"[[Facultad de Arquitectura, Urbanismo y Diseño (Universidad Nacional de Córdoba)]]","la primera de ellas se inauguró en marzo de 2013 y comprendió tres aulas taller, dos aulas destinadas al dictado de teóricos y cuatro boxes docentes, mientras que en el primer piso se ubicó la nueva biblioteca de la Facultad y en el segundo un bar y terraza.<ref><<url> Diseño para diseñadores> lavoz.com.ar, 16 de octubre de 2005</ref><ref><<url> Concurso FAUD-UNC> arqa.com, 22 octubre 05</ref><ref><<url> Nuevas ideas para una fábrica de arquitectos> clarin.com, 10.01.2006</ref><ref><<url> Inauguran ampliación en la Facultad de Arquitectura, Urbanismo y Diseño> faudi.unc.edu.ar, 11.03.2013</ref>"
"frances,",[[The Cowboy and the Frenchman]],"<url> Vaquero y el frances, El"
cansión,"[[Demasiao perro pa trabajá, demasiao carvo pal rocanró]]",#La cansión del verano - 4:21
1 enero,"[[Departamento Federal del Medio Ambiente, Transportes, Energía y Comunicación]]",El secretario general y jefe de personal desde el <<<1 enero>>> de <<<2011>>> es Walther Thurnherr.
por sí sólo,"[[Mazinger-Z, el robot de las estrellas (Editorial Valenciana)]]","Enamorado de su creación, este engendro estaba destinado por el doctor a conquistar por sí sólo el mundo, y sólo la aparición de Mazinger consiguió acabar con sus planes."
mas allá,"[[Lobo Suelto, Cordero Atado, Vol. 1]]","¡Aquí es el mas allá!"""
clasica,"[[Anexo:Premio Grammy al productor del año, clásica]]","<<<Categoría:Anexos:Premios Grammy|productor del año, clasica>>>"
11 julio,"[[Potti, il astronauta inamoratto]]",<url> 11 julio de 2009
¿Como,"[[Los Bebés Acuáticos, Un cuento de Hadas para un Bebé Terrestre]]","'¿Como sabes eso? Ha estado allí para ver? Y si hubiera estado allí para verlo, y no hayas visto ninguno, eso no probaría que no había ninguno..."
14 diciembre,"[[Centro de Atención, Recuperación y Reinserción de Mujeres Maltratadas]]","14 diciembre 2016<url>enero de 2017<url><url><url><url><url><url>>></ref> Este premio también se concedió en la V edición, año 2012, <ref><<Cita web<url><url><url>Consejo de las Mujeres del Municipio de Madrid."
29 noviembre,"[[The Most Beautiful Moment in Life, Part 2]]","! scope=""row""|<<Bandera2|Corea del Sur>> (<<<Gaon Album Chart>>>)<ref><<Cita web <url><url> <url>Gaon Album Chart del 29 noviembre al 5 de diciembre de 2015 <url><<<Gaon Chart>>> <url>coreano <url>22 de agosto de 2016>></ref>"
01 Octubre,"[[Shade, el Hombre Cambiante]]","<url> Shade, de Changing Girl #01 Octubre de 2016-Presente (bajo el sello DC's <<<Young Animal>>>)"
éste último,"[[No, Thank You!!!]]","El joven es acogido por el hombre al que salvó, quien es el dueño de un bar de jazz llamado 'sótano' (ソタノ), y le ofrece a éste último trabajar para él."
en Amsterdam,"[[Si hoy es martes, esto es Bélgica]],<<Etiqueta imagen inicio<url>Venezuela Division Politica Territorial Unicolor.svg <url>500<url>right>>
